time,variable,value_character,value_type,value_numeric
2015-07-15T00:00:00Z,region,CCA,character,NA
2015-10-15T00:00:00Z,region,CCA,character,NA
2015-11-15T00:00:00Z,region,CCA,character,NA
2015-12-15T00:00:00Z,region,CCA,character,NA
2016-01-15T00:00:00Z,region,CCA,character,NA
2016-02-15T00:00:00Z,region,CCA,character,NA
2016-03-15T00:00:00Z,region,CCA,character,NA
2016-09-15T00:00:00Z,region,CCA,character,NA
2016-10-15T00:00:00Z,region,CCA,character,NA
2016-11-15T00:00:00Z,region,CCA,character,NA
2016-12-15T00:00:00Z,region,CCA,character,NA
2017-09-15T00:00:00Z,region,CCA,character,NA
2017-10-15T00:00:00Z,region,CCA,character,NA
2018-09-15T00:00:00Z,region,CCA,character,NA
2018-10-15T00:00:00Z,region,CCA,character,NA
2018-11-15T00:00:00Z,region,CCA,character,NA
2018-12-15T00:00:00Z,region,CCA,character,NA
2019-09-15T00:00:00Z,region,CCA,character,NA
2019-10-15T00:00:00Z,region,CCA,character,NA
2019-11-15T00:00:00Z,region,CCA,character,NA
2020-09-15T00:00:00Z,region,CCA,character,NA
2020-10-15T00:00:00Z,region,CCA,character,NA
2015-09-15T00:00:00Z,region,NCA,character,NA
2015-10-15T00:00:00Z,region,NCA,character,NA
2015-11-15T00:00:00Z,region,NCA,character,NA
2015-12-15T00:00:00Z,region,NCA,character,NA
2016-01-15T00:00:00Z,region,NCA,character,NA
2016-02-15T00:00:00Z,region,NCA,character,NA
2016-03-15T00:00:00Z,region,NCA,character,NA
2016-04-15T00:00:00Z,region,NCA,character,NA
2016-05-15T00:00:00Z,region,NCA,character,NA
2016-09-15T00:00:00Z,region,NCA,character,NA
2016-10-15T00:00:00Z,region,NCA,character,NA
2016-11-15T00:00:00Z,region,NCA,character,NA
2016-12-15T00:00:00Z,region,NCA,character,NA
2017-01-15T00:00:00Z,region,NCA,character,NA
2017-09-15T00:00:00Z,region,NCA,character,NA
2017-10-15T00:00:00Z,region,NCA,character,NA
2017-11-15T00:00:00Z,region,NCA,character,NA
2017-12-15T00:00:00Z,region,NCA,character,NA
2018-09-15T00:00:00Z,region,NCA,character,NA
2018-10-15T00:00:00Z,region,NCA,character,NA
2018-11-15T00:00:00Z,region,NCA,character,NA
2018-12-15T00:00:00Z,region,NCA,character,NA
2019-01-15T00:00:00Z,region,NCA,character,NA
2019-10-15T00:00:00Z,region,NCA,character,NA
2019-11-15T00:00:00Z,region,NCA,character,NA
2020-09-15T00:00:00Z,region,NCA,character,NA
2020-10-15T00:00:00Z,region,NCA,character,NA
1991-11-15T00:00:00Z,region,OR Coast,character,NA
1991-12-15T00:00:00Z,region,OR Coast,character,NA
1992-10-15T00:00:00Z,region,OR Coast,character,NA
1992-11-15T00:00:00Z,region,OR Coast,character,NA
1993-01-15T00:00:00Z,region,OR Coast,character,NA
1993-09-15T00:00:00Z,region,OR Coast,character,NA
1993-10-15T00:00:00Z,region,OR Coast,character,NA
1993-11-15T00:00:00Z,region,OR Coast,character,NA
1993-12-15T00:00:00Z,region,OR Coast,character,NA
1994-01-15T00:00:00Z,region,OR Coast,character,NA
1994-02-15T00:00:00Z,region,OR Coast,character,NA
1994-10-15T00:00:00Z,region,OR Coast,character,NA
1994-11-15T00:00:00Z,region,OR Coast,character,NA
1994-12-15T00:00:00Z,region,OR Coast,character,NA
1995-01-15T00:00:00Z,region,OR Coast,character,NA
1995-11-15T00:00:00Z,region,OR Coast,character,NA
1995-12-15T00:00:00Z,region,OR Coast,character,NA
1996-01-15T00:00:00Z,region,OR Coast,character,NA
1998-10-15T00:00:00Z,region,OR Coast,character,NA
2002-11-15T00:00:00Z,region,OR Coast,character,NA
2002-12-15T00:00:00Z,region,OR Coast,character,NA
2003-11-15T00:00:00Z,region,OR Coast,character,NA
2003-12-15T00:00:00Z,region,OR Coast,character,NA
2004-01-15T00:00:00Z,region,OR Coast,character,NA
2004-11-15T00:00:00Z,region,OR Coast,character,NA
2005-01-15T00:00:00Z,region,OR Coast,character,NA
2005-11-15T00:00:00Z,region,OR Coast,character,NA
2010-11-15T00:00:00Z,region,OR Coast,character,NA
2011-11-15T00:00:00Z,region,OR Coast,character,NA
2012-11-15T00:00:00Z,region,OR Coast,character,NA
2013-11-15T00:00:00Z,region,OR Coast,character,NA
2014-11-15T00:00:00Z,region,OR Coast,character,NA
2015-06-15T00:00:00Z,region,OR Coast,character,NA
2015-08-15T00:00:00Z,region,OR Coast,character,NA
2015-10-15T00:00:00Z,region,OR Coast,character,NA
2015-11-15T00:00:00Z,region,OR Coast,character,NA
2015-12-15T00:00:00Z,region,OR Coast,character,NA
2016-01-15T00:00:00Z,region,OR Coast,character,NA
2016-02-15T00:00:00Z,region,OR Coast,character,NA
2016-03-15T00:00:00Z,region,OR Coast,character,NA
2016-04-15T00:00:00Z,region,OR Coast,character,NA
2016-05-15T00:00:00Z,region,OR Coast,character,NA
2016-06-15T00:00:00Z,region,OR Coast,character,NA
2016-09-15T00:00:00Z,region,OR Coast,character,NA
2016-10-15T00:00:00Z,region,OR Coast,character,NA
2016-11-15T00:00:00Z,region,OR Coast,character,NA
2016-12-15T00:00:00Z,region,OR Coast,character,NA
2017-01-15T00:00:00Z,region,OR Coast,character,NA
2017-02-15T00:00:00Z,region,OR Coast,character,NA
2017-03-15T00:00:00Z,region,OR Coast,character,NA
2017-04-15T00:00:00Z,region,OR Coast,character,NA
2017-05-15T00:00:00Z,region,OR Coast,character,NA
2017-06-15T00:00:00Z,region,OR Coast,character,NA
2017-07-15T00:00:00Z,region,OR Coast,character,NA
2017-10-15T00:00:00Z,region,OR Coast,character,NA
2017-11-15T00:00:00Z,region,OR Coast,character,NA
2017-12-15T00:00:00Z,region,OR Coast,character,NA
2018-01-15T00:00:00Z,region,OR Coast,character,NA
2018-02-15T00:00:00Z,region,OR Coast,character,NA
2018-03-15T00:00:00Z,region,OR Coast,character,NA
2018-04-15T00:00:00Z,region,OR Coast,character,NA
2018-05-15T00:00:00Z,region,OR Coast,character,NA
2018-06-15T00:00:00Z,region,OR Coast,character,NA
2018-07-15T00:00:00Z,region,OR Coast,character,NA
2018-10-15T00:00:00Z,region,OR Coast,character,NA
2018-11-15T00:00:00Z,region,OR Coast,character,NA
2018-12-15T00:00:00Z,region,OR Coast,character,NA
